pr_number,pr_url,pr_state,comment_type,reviewer,created_at,path,category,body
8871,https://github.com/open-telemetry/opentelemetry.io/pull/8871,merged,inline_comment,svrnm,2026-02-12T09:33:13Z,data/registry/instrumentation-dotnet-fusioncache.yml,description-quality,"```suggestion
```"
8871,https://github.com/open-telemetry/opentelemetry.io/pull/8871,merged,review_approved,svrnm,2026-02-12T09:33:35Z,,ci-lint-request,"overall lgtm, let's make sure the linters work and then we can merge"
8871,https://github.com/open-telemetry/opentelemetry.io/pull/8871,merged,issue_comment,svrnm,2026-02-12T09:37:56Z,,ci-fix-command,/fix:all
8871,https://github.com/open-telemetry/opentelemetry.io/pull/8871,merged,issue_comment,otelbot-docs,2026-02-12T09:47:03Z,,bot-status,✅ `fix:all` applied successfully in [run 21941205897](https://github.com/open-telemetry/opentelemetry.io/actions/runs/21941205897).
8979,https://github.com/open-telemetry/opentelemetry.io/pull/8979,merged,review_approved,theletterf,2026-01-23T14:56:36Z,,approval-note,Thanks!
8979,https://github.com/open-telemetry/opentelemetry.io/pull/8979,merged,review_changes_requested,theletterf,2026-01-23T15:20:47Z,,broken-link,https://pkg.go.dev/https:/github.com/hydrolix/hydrolix-exporter/tree/main/hydrolixexporter is throwing a 404
8979,https://github.com/open-telemetry/opentelemetry.io/pull/8979,merged,issue_comment,theletterf,2026-01-26T09:22:49Z,,ci-fix-command,/fix:refcache
8979,https://github.com/open-telemetry/opentelemetry.io/pull/8979,merged,issue_comment,otelbot-docs,2026-01-26T09:30:23Z,,bot-status,❌ `fix:refcache` failed or exited with a non-zero error code (0). See logs: https://github.com/open-telemetry/opentelemetry.io/actions/runs/21352479922
8979,https://github.com/open-telemetry/opentelemetry.io/pull/8979,merged,issue_comment,theletterf,2026-01-26T09:37:08Z,,process-workflow,@murphpdx Could you rebase your branch with the latest changes from upstream?
8979,https://github.com/open-telemetry/opentelemetry.io/pull/8979,merged,issue_comment,theletterf,2026-01-27T09:51:18Z,,ci-fix-command,/fix:refcache
8979,https://github.com/open-telemetry/opentelemetry.io/pull/8979,merged,issue_comment,otelbot-docs,2026-01-27T09:58:40Z,,bot-status,❌ `fix:refcache` failed or exited with a non-zero error code (0). See logs: https://github.com/open-telemetry/opentelemetry.io/actions/runs/21392468670
9090,https://github.com/open-telemetry/opentelemetry.io/pull/9090,merged,issue_comment,vitorvasc,2026-02-03T12:10:46Z,,ci-fix-command,/fix:all
9090,https://github.com/open-telemetry/opentelemetry.io/pull/9090,merged,issue_comment,otelbot-docs,2026-02-03T12:20:06Z,,bot-status,✅ `fix:all` applied successfully in [run 21629670719](https://github.com/open-telemetry/opentelemetry.io/actions/runs/21629670719).
9090,https://github.com/open-telemetry/opentelemetry.io/pull/9090,merged,review_approved,vitorvasc,2026-02-03T12:26:45Z,,approval-note,Thanks!
9121,https://github.com/open-telemetry/opentelemetry.io/pull/9121,merged,issue_comment,otelbot-docs,2026-02-09T15:28:23Z,,bot-status,❌ `fix:refcache` failed or exited with a non-zero error code (0). See logs: https://github.com/open-telemetry/opentelemetry.io/actions/runs/21830895848
9121,https://github.com/open-telemetry/opentelemetry.io/pull/9121,merged,inline_comment,svrnm,2026-02-12T06:52:00Z,data/registry/instrumentation-ruby-ruby-llm.yml,spelling-cspell,"```suggestion
# cSpell:ignore: thoughtbot
title: RubyLLM Instrumentation
```"
