number,title,author,state,closed_or_merged_at,url
8871,Add FusionCache to registry,jodydonetti,merged,2026-02-12T11:13:45Z,https://github.com/open-telemetry/opentelemetry.io/pull/8871
8979,Add the hydrolix collector exporter to the registry,murphpdx,merged,2026-03-02T08:09:00Z,https://github.com/open-telemetry/opentelemetry.io/pull/8979
9051,Auto-update registry versions (628fb3db0f61d93cbe41b6a587e7913185f81f37),otelbot[bot],merged,2026-01-28T07:09:16Z,https://github.com/open-telemetry/opentelemetry.io/pull/9051
9057,Auto-update registry versions (d724805c5bc9e2a422fa5ee36c01699eabe5d20e),otelbot[bot],merged,2026-01-29T09:00:48Z,https://github.com/open-telemetry/opentelemetry.io/pull/9057
9084,Auto-update registry versions (de3c98bbb20d08483760e6b4cf4e32904120caa2),otelbot[bot],merged,2026-02-02T08:22:50Z,https://github.com/open-telemetry/opentelemetry.io/pull/9084
9090,Update Keycloak integration,ahus1,merged,2026-02-03T12:31:44Z,https://github.com/open-telemetry/opentelemetry.io/pull/9090
9093,Auto-update registry versions (a4de2b0806357d251418d2575ecfc672f2eeb2ec),otelbot[bot],merged,2026-02-03T12:32:41Z,https://github.com/open-telemetry/opentelemetry.io/pull/9093
9099,Auto-update registry versions (f11e28d9fb27da92b47ddaf8965d66a4e24819cd),otelbot[bot],merged,2026-02-04T09:39:59Z,https://github.com/open-telemetry/opentelemetry.io/pull/9099
9103,Auto-update registry versions (ae177ace27d1f2a1686a52497dab4bac5b7304bf),otelbot[bot],merged,2026-02-05T13:19:01Z,https://github.com/open-telemetry/opentelemetry.io/pull/9103
9121,Add RubyLLM instrumentation to registry,clarissalimab,merged,2026-02-12T16:00:45Z,https://github.com/open-telemetry/opentelemetry.io/pull/9121
9126,Auto-update registry versions (d012bc7ae3469e40b665946ccb1c688322e8237e),otelbot[bot],merged,2026-02-09T07:53:30Z,https://github.com/open-telemetry/opentelemetry.io/pull/9126
